q26_1,q26_2,q26_3,q26_4,q26_5,q31_1,q31_2,q31_3,q31_4,q31_5,q31_6,q31_7,q31_C1,q31_C2,q35_1,q35_2,q35_3,q35_4,q36_1,q36_2,q36_3,year,performance_mgmt_index,job_stress_index,org_commitment_index,job_satisfaction_index
5.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,,,5.0,5.0,4.0,5.0,5.0,4.0,5.0,2022,4.8,3.7142857142857144,4.75,4.666666666666667
3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,,,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2022,3.4,3.4285714285714284,2.75,2.3333333333333335
3.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,5.0,2.0,2.0,2.0,,,4.0,5.0,3.0,2.0,3.0,4.0,2.0,2022,2.8,3.2857142857142856,3.5,3.0
3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,,,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2022,3.2,2.857142857142857,2.5,2.6666666666666665
4.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,,,3.0,4.0,4.0,3.0,4.0,4.0,4.0,2022,4.0,2.2857142857142856,3.5,4.0
4.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,,,3.0,4.0,4.0,4.0,4.0,3.0,4.0,2022,3.2,2.4285714285714284,3.75,3.6666666666666665
1.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,2.0,4.0,4.0,4.0,,,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2022,1.0,3.2857142857142856,2.0,2.3333333333333335
2.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,,,1.0,3.0,3.0,2.0,2.0,3.0,3.0,2022,2.2,3.4285714285714284,2.25,2.6666666666666665
3.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,,,3.0,3.0,4.0,4.0,4.0,3.0,4.0,2022,4.2,3.5714285714285716,3.5,3.6666666666666665
4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,,,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2022,3.6,3.5714285714285716,3.75,4.0
3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2022,3.0,3.5714285714285716,3.0,3.0
3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,,,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2022,3.0,3.142857142857143,2.75,2.0
3.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,,,4.0,4.0,3.0,3.0,3.0,4.0,3.0,2022,2.4,2.4285714285714284,3.5,3.3333333333333335
3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,,,3.0,3.0,4.0,3.0,3.0,2.0,3.0,2022,3.2,2.2857142857142856,3.25,2.6666666666666665
4.0,3.0,4.0,3.0,1.0,4.0,4.0,5.0,2.0,2.0,1.0,1.0,,,3.0,4.0,4.0,3.0,5.0,4.0,4.0,2022,3.0,2.7142857142857144,3.5,4.333333333333333
3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,,,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2022,3.2,3.142857142857143,3.25,2.6666666666666665
3.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,2.0,4.0,4.0,3.0,4.0,3.0,3.0,2022,3.0,4.0,3.25,3.3333333333333335
5.0,5.0,5.0,5.0,3.0,2.0,2.0,3.0,4.0,1.0,1.0,4.0,,,4.0,4.0,4.0,3.0,4.0,4.0,3.0,2022,4.6,2.4285714285714284,3.75,3.6666666666666665
3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2022,3.0,2.857142857142857,4.0,4.0
2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,4.0,2.0,,,2.0,3.0,2.0,2.0,1.0,3.0,2.0,2022,2.0,2.7142857142857144,2.25,2.0
2.0,2.0,1.0,1.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,,,4.0,4.0,5.0,3.0,3.0,4.0,4.0,2022,1.8,3.142857142857143,4.0,3.6666666666666665
4.0,4.0,3.0,5.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,,,2.0,2.0,3.0,2.0,2.0,4.0,3.0,2022,3.8,2.7142857142857144,2.25,3.0
3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,,,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2022,2.8,3.4285714285714284,2.0,2.6666666666666665
4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,3.0,,,4.0,5.0,5.0,4.0,4.0,5.0,3.0,2022,3.4,2.857142857142857,4.5,4.0
3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,,,3.0,4.0,3.0,4.0,3.0,4.0,3.0,2022,3.4,3.5714285714285716,3.5,3.3333333333333335
3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,,,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2022,2.2,2.5714285714285716,2.5,2.6666666666666665
2.0,3.0,3.0,2.0,1.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,,,2.0,2.0,2.0,3.0,3.0,3.0,4.0,2022,2.2,3.7142857142857144,2.25,3.3333333333333335
4.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,,,3.0,4.0,4.0,4.0,2.0,4.0,4.0,2022,3.0,3.4285714285714284,3.75,3.3333333333333335
4.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2022,3.8,2.2857142857142856,4.0,4.0
